"","Sigma.1","Sigma.2","Sigma.3","Sigma.4","Sigma.5","Sigma.6","Sigma.7","Sigma.8","Sigma.9","Sigma.10","Sigma.11","Sigma.12","Sigma.13","Sigma.14","Sigma.15","Sigma.16","Sigma.17","Sigma.18","Sigma.19","Sigma.20","Delta_Sigma.1","Delta_Sigma.2","Delta_Sigma.3","Delta_Sigma.4","Delta_Sigma.5","Delta_Sigma.6","Delta_Sigma.7","Delta_Sigma.8","Delta_Sigma.9","Delta_Sigma.10","Delta_Sigma.11","Delta_Sigma.12","Delta_Sigma.13","Delta_Sigma.14","Delta_Sigma.15","Delta_Sigma.16","Delta_Sigma.17","Delta_Sigma.18","Delta_Sigma.19","Delta_Sigma.20"
"11",-1.90872164115289,-3.98585814391943,4.28514213592221,-1.47888641124887,8.5295052808236,-1.77980655976554,11.5819628218948,-3.69488241837126,8.61399580584315,4.28337795168844,35.8956312657844,4.99567424443215,8.35352140466806,-4.04883085088019,3.5597823582799,-1.94411498285947,5.83744457831933,1.71562351724556,1.1798110854388,2.22930405092201,-1.90872164115289,-3.98585814391943,4.28514213592221,-1.47888641124887,8.5295052808236,-1.77980655976554,11.5819628218948,-3.69488241837126,8.61399580584315,4.28337795168844,35.8956312657844,4.99567424443215,8.35352140466806,-4.04883085088019,3.5597823582799,-1.94411498285947,5.83744457831933,1.71562351724556,1.1798110854388,2.22930405092201
"12",0.71677571043764,3.59832184594376,-4.19254134319253,0.241161004099136,-2.9019423799423,5.90683207442629,-4.07381977157014,5.4882024141345,-6.01664693523999,6.91008512220714,4.99567424443215,34.6342911457244,6.50738616077094,10.0454678538413,-2.98168136192119,4.96471967128024,-2.2641396498895,4.48548156783412,0.180846530429528,0.63421267434804,0.71677571043764,3.59832184594376,-4.19254134319253,0.241161004099136,-2.9019423799423,5.90683207442629,-4.07381977157014,5.4882024141345,-6.01664693523999,6.91008512220714,4.99567424443215,34.6342911457244,6.50738616077094,10.0454678538413,-2.98168136192119,4.96471967128024,-2.2641396498895,4.48548156783412,0.180846530429528,0.63421267434804
"13",3.79244390873884,-0.878296901067031,3.14348368255684,-4.59296432033946,-0.864450900379069,-6.57072870842985,8.62228936569441,-2.51428446592277,6.81665053630804,-5.01722012809003,8.35352140466806,6.50738616077094,39.2314196213127,8.24682162737679,6.89287565885665,-3.29034675868326,4.2181960505296,-4.88595960658238,0.829920536966876,1.66569136440939,3.79244390873884,-0.878296901067031,3.14348368255684,-4.59296432033946,-0.864450900379069,-6.57072870842985,8.62228936569441,-2.51428446592277,6.81665053630804,-5.01722012809003,8.35352140466806,6.50738616077094,39.2314196213127,8.24682162737679,6.89287565885665,-3.29034675868326,4.2181960505296,-4.88595960658238,0.829920536966876,1.66569136440939
"14",0.639659158656755,1.82270758743926,-0.438346752977107,-0.28845261539817,-4.49835401851915,2.22970997058309,-1.32002235575193,6.64578108547222,-4.35308712109172,5.33741898320766,-4.04883085088019,10.0454678538413,8.24682162737679,36.6732285912897,6.51061658962286,7.40710469677551,-3.99224068504027,2.12888210682759,-3.6479497622176,2.25288460213913,0.639659158656755,1.82270758743926,-0.438346752977107,-0.28845261539817,-4.49835401851915,2.22970997058309,-1.32002235575193,6.64578108547222,-4.35308712109172,5.33741898320766,-4.04883085088019,10.0454678538413,8.24682162737679,36.6732285912897,6.51061658962286,7.40710469677551,-3.99224068504027,2.12888210682759,-3.6479497622176,2.25288460213913
"15",-0.67423714326224,1.46401439901659,0.66750853137447,-1.17595628368146,2.95059775822425,-3.44382655378189,0.976482063250657,-1.66873563693296,6.92854884057047,-4.24581836539596,3.5597823582799,-2.98168136192119,6.89287565885665,6.51061658962286,35.2339153671123,8.05494727905237,4.93650505836214,-2.82254538048656,4.66740543829174,-2.97070659307694,-0.67423714326224,1.46401439901659,0.66750853137447,-1.17595628368146,2.95059775822425,-3.44382655378189,0.976482063250657,-1.66873563693296,6.92854884057047,-4.24581836539596,3.5597823582799,-2.98168136192119,6.89287565885665,6.51061658962286,35.2339153671123,8.05494727905237,4.93650505836214,-2.82254538048656,4.66740543829174,-2.97070659307694
"16",-2.41013279594286,0.606826013317252,0.7819290135585,0.45630388665995,-1.60729523962278,0.761615891984054,-1.31167911526205,3.91385986505674,-0.083921389642845,6.20309550528033,-1.94411498285947,4.96471967128024,-3.29034675868326,7.40710469677551,8.05494727905237,36.5665590110969,9.51272068974103,5.74659770406993,-0.944872987247433,5.30976883835744,-2.41013279594286,0.606826013317252,0.7819290135585,0.45630388665995,-1.60729523962278,0.761615891984054,-1.31167911526205,3.91385986505674,-0.083921389642845,6.20309550528033,-1.94411498285947,4.96471967128024,-3.29034675868326,7.40710469677551,8.05494727905237,36.5665590110969,9.51272068974103,5.74659770406993,-0.944872987247433,5.30976883835744
"17",-2.15616203450795,-0.534466760567592,0.57138233955567,0.923666838291353,0.95555851692134,-0.414971829458758,4.27368801546958,-0.53608090893526,3.11808531969637,1.4361001272424,5.83744457831933,-2.2641396498895,4.2181960505296,-3.99224068504027,4.93650505836214,9.51272068974103,35.2831156233898,8.49408265740875,5.09271281794992,-0.533778534347552,-2.15616203450795,-0.534466760567592,0.57138233955567,0.923666838291353,0.95555851692134,-0.414971829458758,4.27368801546958,-0.53608090893526,3.11808531969637,1.4361001272424,5.83744457831933,-2.2641396498895,4.2181960505296,-3.99224068504027,4.93650505836214,9.51272068974103,35.2831156233898,8.49408265740875,5.09271281794992,-0.533778534347552
"18",-2.58218896569597,-0.298253498296835,2.83801293813407,-0.922106680805666,1.33135120079344,1.39377864897958,1.22478747576679,2.26471139299579,-0.920218833103657,2.51597262938516,1.71562351724556,4.48548156783412,-4.88595960658238,2.12888210682759,-2.82254538048656,5.74659770406993,8.49408265740875,36.3020522026617,6.98652533460187,2.76949946387406,-2.58218896569597,-0.298253498296835,2.83801293813407,-0.922106680805666,1.33135120079344,1.39377864897958,1.22478747576679,2.26471139299579,-0.920218833103657,2.51597262938516,1.71562351724556,4.48548156783412,-4.88595960658238,2.12888210682759,-2.82254538048656,5.74659770406993,8.49408265740875,36.3020522026617,6.98652533460187,2.76949946387406
"19",-3.83654838353315,5.14755249965693,-2.11194331035247,1.61926594460239,0.967847229757724,2.45496164160259,-2.23652340812906,0.693406595144245,2.07329478258338,-1.74157432458275,1.1798110854388,0.180846530429528,0.829920536966876,-3.6479497622176,4.66740543829174,-0.944872987247433,5.09271281794992,6.98652533460187,32.9717909818967,4.64860161781481,-3.83654838353315,5.14755249965693,-2.11194331035247,1.61926594460239,0.967847229757724,2.45496164160259,-2.23652340812906,0.693406595144245,2.07329478258338,-1.74157432458275,1.1798110854388,0.180846530429528,0.829920536966876,-3.6479497622176,4.66740543829174,-0.944872987247433,5.09271281794992,6.98652533460187,32.9717909818967,4.64860161781481
"20",1.61722759063585,-5.5162432566603,6.06134336386957,-0.609167287473516,1.66405480901929,-1.15045319466776,6.32229348037566,0.953648192899739,3.19679634123097,3.96042532378323,2.22930405092201,0.63421267434804,1.66569136440939,2.25288460213913,-2.97070659307694,5.30976883835744,-0.533778534347552,2.76949946387406,4.64860161781481,35.1539071791376,1.61722759063585,-5.5162432566603,6.06134336386957,-0.609167287473516,1.66405480901929,-1.15045319466776,6.32229348037566,0.953648192899739,3.19679634123097,3.96042532378323,2.22930405092201,0.63421267434804,1.66569136440939,2.25288460213913,-2.97070659307694,5.30976883835744,-0.533778534347552,2.76949946387406,4.64860161781481,35.1539071791376
